title,src,href
"ITZY(있지) ""LOCO"" Dance Practice (5K)",https://i.ytimg.com/vi/jr9lqsHUS-o/hqdefault.jpg,https://www.youtube.com/watch?v=jr9lqsHUS-o
"ITZY(있지) ""달라달라(DALLA DALLA)"" Dance Practice (Close-up Ver.)",https://i.ytimg.com/vi/1Nu_tw9rLOA/hqdefault.jpg,https://www.youtube.com/watch?v=1Nu_tw9rLOA
"ITZY(있지) ""Not Shy"" Dance Practice (Moving Ver.)",https://i.ytimg.com/vi/lMC6_j37TLE/hqdefault.jpg,https://www.youtube.com/watch?v=lMC6_j37TLE
"ITZY(있지) ""달라달라(DALLA DALLA)"" Dance Practice (2020 Ver.)",https://i.ytimg.com/vi/Q-CYEtcBtDc/hqdefault.jpg,https://www.youtube.com/watch?v=Q-CYEtcBtDc
"ITZY(있지) ""SNEAKERS"" Dance Practice (4K)",https://i.ytimg.com/vi/72xTFQgLl7I/hqdefault.jpg,https://www.youtube.com/watch?v=72xTFQgLl7I
"ITZY(있지) ""WANNABE"" Dance Practice (HERO Ver.)",https://i.ytimg.com/vi/9-8SO8siAWI/hqdefault.jpg,https://www.youtube.com/watch?v=9-8SO8siAWI
"ITZY ""SNEAKERS"" Stage Practice",https://i.ytimg.com/vi/3qxFsz-Orkc/hqdefault.jpg,https://www.youtube.com/watch?v=3qxFsz-Orkc
"ITZY(있지) ""WANNABE"" Dance Practice",https://i.ytimg.com/vi/G_Lhkhxl8BU/hqdefault.jpg,https://www.youtube.com/watch?v=G_Lhkhxl8BU
"ITZY(있지) ""달라달라(DALLA DALLA)"" Performance Video",https://i.ytimg.com/vi/FboYnkH_73s/hqdefault.jpg,https://www.youtube.com/watch?v=FboYnkH_73s
"ITZY(있지) ""WANNABE"" Dance Practice (Moving Ver.)",https://i.ytimg.com/vi/Y0349sjf0Vs/hqdefault.jpg,https://www.youtube.com/watch?v=Y0349sjf0Vs
"ITZY(있지) ""마.피.아. In the morning"" Dance Practice (Moving Ver.)",https://i.ytimg.com/vi/cFxce4OPmLE/hqdefault.jpg,https://www.youtube.com/watch?v=cFxce4OPmLE
"ITZY(있지) ""달라달라(DALLA DALLA)"" Dance Practice",https://i.ytimg.com/vi/ay97L0DAu9A/hqdefault.jpg,https://www.youtube.com/watch?v=ay97L0DAu9A
